Days for shipping (real),Days for shipment (scheduled),Delivery Status,Customer Segment,Latitude,Longitude,Order City,order date (DateOrders),Order Item Id,Order Item Quantity,Order State,shipping date (DateOrders),Shipping Mode,User ID,Admin Recomended Slots/Previous Optimized Delivered Slots,Parcel Delivered in This Slot,Machine Prediction
2,4,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70790,5,Telangana,2/20/2016 0:59,Standard Class,43,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70792,1,Telangana,2/20/2016 0:59,Standard Class,43,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
3,2,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,4/3/2016 19:43,73504,1,Chhattisgarh,7/3/2016 19:43,Second Class,44,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3,2,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,4/3/2016 19:43,73503,2,Chhattisgarh,7/3/2016 19:43,Second Class,44,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3,2,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,4/3/2016 19:43,73502,3,Chhattisgarh,7/3/2016 19:43,Second Class,44,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3,2,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,4/3/2016 19:43,73501,2,Chhattisgarh,7/3/2016 19:43,Second Class,44,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
3,4,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61206,1,Delhi,12/27/2015 0:01,Standard Class,70,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
3,4,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61205,5,Delhi,12/27/2015 0:01,Standard Class,70,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61202,1,Delhi,12/27/2015 0:01,Standard Class,70,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61204,3,Delhi,12/27/2015 0:01,Standard Class,70,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61203,2,Delhi,12/27/2015 0:01,Standard Class,70,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3,4,Advance shipping,Corporate,18.22769547,-66.04356384,Bhiwandi,2/26/2016 5:32,72209,4,Maharashtra,2/29/2016 5:32,Standard Class,77,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Corporate,18.22769547,-66.04356384,Bhiwandi,2/26/2016 5:32,72208,1,Maharashtra,2/29/2016 5:32,Standard Class,77,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
5,2,Late delivery,Consumer,18.2276001,-66.0435791,Mumbai,9/3/2016 23:02,74376,4,Maharashtra,3/14/2016 23:02,Second Class,85,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5,2,Late delivery,Consumer,18.2276001,-66.0435791,Mumbai,9/3/2016 23:02,74375,1,Maharashtra,3/14/2016 23:02,Second Class,85,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Corporate,37.6722908,-121.0311356,Nasik,6/3/2016 5:21,73741,1,Maharashtra,8/3/2016 5:21,First Class,103,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2,1,Late delivery,Corporate,37.6722908,-121.0311356,Nasik,6/3/2016 5:21,73740,1,Maharashtra,8/3/2016 5:21,First Class,103,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Consumer,32.71671677,-116.997261,Mangalore,10/2/2016 14:40,69556,1,Karnataka,2/13/2016 14:40,Standard Class,141,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Consumer,32.71671677,-116.997261,Mangalore,10/2/2016 14:40,69557,1,Karnataka,2/13/2016 14:40,Standard Class,141,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
4,4,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,11/2/2016 15:32,69738,5,Maharashtra,2/15/2016 15:32,Standard Class,142,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
4,4,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,11/2/2016 15:32,69736,1,Maharashtra,2/15/2016 15:32,Standard Class,142,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
4,4,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,11/2/2016 15:32,69737,2,Maharashtra,2/15/2016 15:32,Standard Class,142,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4,4,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,11/2/2016 15:32,69740,3,Maharashtra,2/15/2016 15:32,Standard Class,142,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4,4,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,11/2/2016 15:32,69739,3,Maharashtra,2/15/2016 15:32,Standard Class,142,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2,2,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72192,3,Maharashtra,2/28/2016 3:26,Second Class,149,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2,2,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72191,4,Maharashtra,2/28/2016 3:26,Second Class,149,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2,2,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72189,5,Maharashtra,2/28/2016 3:26,Second Class,149,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2,2,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72190,1,Maharashtra,2/28/2016 3:26,Second Class,149,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6,4,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,7/12/2015 2:40,58339,1,Haryana,12/13/2015 2:40,Standard Class,161,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6,4,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,7/12/2015 2:40,58337,2,Haryana,12/13/2015 2:40,Standard Class,161,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6,4,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,7/12/2015 2:40,58335,3,Haryana,12/13/2015 2:40,Standard Class,161,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
6,4,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,7/12/2015 2:40,58338,4,Haryana,12/13/2015 2:40,Standard Class,161,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6,4,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,7/12/2015 2:40,58336,2,Haryana,12/13/2015 2:40,Standard Class,161,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6,4,Late delivery,Home Office,18.1464901,-66.54896545,Surat,1/23/2016 15:02,66487,1,Guyarat,1/29/2016 15:02,Standard Class,174,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6,4,Late delivery,Home Office,18.1464901,-66.54896545,Surat,1/23/2016 15:02,66486,1,Guyarat,1/29/2016 15:02,Standard Class,174,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6,4,Late delivery,Home Office,18.1464901,-66.54896545,Surat,1/23/2016 15:02,66488,5,Guyarat,1/29/2016 15:02,Standard Class,174,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,18.24755859,-66.02539063,Bangalore,1/30/2016 7:51,67667,1,Karnataka,4/2/2016 7:51,Standard Class,217,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5,4,Late delivery,Corporate,18.24755859,-66.02539063,Bangalore,1/30/2016 7:51,67666,5,Karnataka,4/2/2016 7:51,Standard Class,217,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Corporate,18.24755478,-66.02524567,Bokaro,2/3/2016 14:49,73101,3,Jharkhand,4/3/2016 14:49,Standard Class,225,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Corporate,18.24755478,-66.02524567,Bokaro,2/3/2016 14:49,73102,3,Jharkhand,4/3/2016 14:49,Standard Class,225,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Corporate,18.24755478,-66.02524567,Bokaro,2/3/2016 14:49,73100,1,Jharkhand,4/3/2016 14:49,Standard Class,225,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6,2,Late delivery,Home Office,33.42093277,-111.897377,Belgaum,6/1/2016 20:09,63638,1,Karnataka,12/1/2016 20:09,Second Class,227,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6,2,Late delivery,Home Office,33.42093277,-111.897377,Belgaum,6/1/2016 20:09,63637,1,Karnataka,12/1/2016 20:09,Second Class,227,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6,2,Late delivery,Home Office,33.42093277,-111.897377,Belgaum,6/1/2016 20:09,63639,5,Karnataka,12/1/2016 20:09,Second Class,227,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,41.71432495,-87.79169464,Pune,9/11/2015 13:13,53546,1,Maharashtra,11/11/2015 13:13,First Class,246,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Consumer,41.71432495,-87.79169464,Pune,9/11/2015 13:13,53544,1,Maharashtra,11/11/2015 13:13,First Class,246,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,41.71432495,-87.79169464,Pune,9/11/2015 13:13,53543,1,Maharashtra,11/11/2015 13:13,First Class,246,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2,1,Late delivery,Consumer,41.71432495,-87.79169464,Pune,9/11/2015 13:13,53547,2,Maharashtra,11/11/2015 13:13,First Class,246,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Consumer,41.71432495,-87.79169464,Pune,9/11/2015 13:13,53545,2,Maharashtra,11/11/2015 13:13,First Class,246,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60446,1,Uttar Pradesh,12/21/2015 18:04,Standard Class,247,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60445,1,Uttar Pradesh,12/21/2015 18:04,Standard Class,247,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60448,3,Uttar Pradesh,12/21/2015 18:04,Standard Class,247,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60447,2,Uttar Pradesh,12/21/2015 18:04,Standard Class,247,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71698,5,Tamil Nadu,2/28/2016 2:55,Standard Class,254,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71694,1,Tamil Nadu,2/28/2016 2:55,Standard Class,254,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71697,1,Tamil Nadu,2/28/2016 2:55,Standard Class,254,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71696,1,Tamil Nadu,2/28/2016 2:55,Standard Class,254,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70782,1,Guyarat,2/23/2016 0:17,Standard Class,255,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70780,4,Guyarat,2/23/2016 0:17,Standard Class,255,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70779,5,Guyarat,2/23/2016 0:17,Standard Class,255,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70781,5,Guyarat,2/23/2016 0:17,Standard Class,255,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Consumer,41.83272171,-87.98048401,Aligarh,12/16/2015 21:45,60006,5,Uttar Pradesh,12/18/2015 21:45,Standard Class,256,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Consumer,41.83272171,-87.98048401,Aligarh,12/16/2015 21:45,60008,1,Uttar Pradesh,12/18/2015 21:45,Standard Class,256,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Consumer,41.83272171,-87.98048401,Aligarh,12/16/2015 21:45,60007,1,Uttar Pradesh,12/18/2015 21:45,Standard Class,256,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2,1,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72195,5,Maharashtra,2/28/2016 3:47,First Class,261,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72194,5,Maharashtra,2/28/2016 3:47,First Class,261,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72196,1,Maharashtra,2/28/2016 3:47,First Class,261,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2,1,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72193,1,Maharashtra,2/28/2016 3:47,First Class,261,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
4,4,Shipping on time,Consumer,18.35920334,-66.07658386,Meerut,1/14/2016 7:52,64880,1,Uttar Pradesh,1/18/2016 7:52,Standard Class,279,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4,4,Shipping on time,Consumer,18.35920334,-66.07658386,Meerut,1/14/2016 7:52,64879,3,Uttar Pradesh,1/18/2016 7:52,Standard Class,279,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
3,2,Late delivery,Consumer,18.3590107,-66.07815552,Thane,2/25/2016 5:01,72043,1,Maharashtra,2/28/2016 5:01,Second Class,287,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3,2,Late delivery,Consumer,18.3590107,-66.07815552,Thane,2/25/2016 5:01,72045,1,Maharashtra,2/28/2016 5:01,Second Class,287,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
3,2,Late delivery,Consumer,18.3590107,-66.07815552,Thane,2/25/2016 5:01,72044,1,Maharashtra,2/28/2016 5:01,Second Class,287,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,11/12/2015 3:22,58980,1,Maharashtra,12/13/2015 3:22,Standard Class,317,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2,4,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,11/12/2015 3:22,58979,1,Maharashtra,12/13/2015 3:22,Standard Class,317,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2,4,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,11/12/2015 3:22,58982,1,Maharashtra,12/13/2015 3:22,Standard Class,317,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2,4,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,11/12/2015 3:22,58981,2,Maharashtra,12/13/2015 3:22,Standard Class,317,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
3,2,Late delivery,Corporate,41.89497757,-87.77729034,Visakhapatnam,3/14/2016 3:56,75052,4,Andhra Pradesh,3/17/2016 3:56,Second Class,319,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3,2,Late delivery,Corporate,41.89497757,-87.77729034,Visakhapatnam,3/14/2016 3:56,75051,1,Andhra Pradesh,3/17/2016 3:56,Second Class,319,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4,2,Late delivery,Consumer,18.3590126,-66.07813263,Solapur,4/2/2016 6:37,68504,1,Maharashtra,8/2/2016 6:37,Second Class,333,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
4,2,Late delivery,Consumer,18.3590126,-66.07813263,Solapur,4/2/2016 6:37,68503,1,Maharashtra,8/2/2016 6:37,Second Class,333,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
5,4,Late delivery,Consumer,40.6487999,-73.94863892,Nasik,1/24/2016 22:13,66717,1,Maharashtra,1/29/2016 22:13,Standard Class,336,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
5,4,Late delivery,Consumer,40.6487999,-73.94863892,Nasik,1/24/2016 22:13,66718,1,Maharashtra,1/29/2016 22:13,Standard Class,336,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
5,4,Late delivery,Corporate,32.87127686,-97.32331848,Kalyan,2/11/2015 15:30,52314,3,Maharashtra,7/11/2015 15:30,Standard Class,343,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,32.87127686,-97.32331848,Kalyan,2/11/2015 15:30,52312,3,Maharashtra,7/11/2015 15:30,Standard Class,343,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,32.87127686,-97.32331848,Kalyan,2/11/2015 15:30,52316,5,Maharashtra,7/11/2015 15:30,Standard Class,343,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
5,4,Late delivery,Corporate,32.87127686,-97.32331848,Kalyan,2/11/2015 15:30,52315,1,Maharashtra,7/11/2015 15:30,Standard Class,343,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5,4,Late delivery,Corporate,32.87127686,-97.32331848,Kalyan,2/11/2015 15:30,52313,1,Maharashtra,7/11/2015 15:30,Standard Class,343,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,18.24761581,-66.02522278,Faridabad,1/15/2016 5:36,65032,1,Haryana,1/17/2016 5:36,First Class,363,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2,1,Late delivery,Consumer,18.24761581,-66.02522278,Faridabad,1/15/2016 5:36,65029,3,Haryana,1/17/2016 5:36,First Class,363,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,18.24761581,-66.02522278,Faridabad,1/15/2016 5:36,65028,2,Haryana,1/17/2016 5:36,First Class,363,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,18.24761581,-66.02522278,Faridabad,1/15/2016 5:36,65030,1,Haryana,1/17/2016 5:36,First Class,363,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,18.24761581,-66.02522278,Faridabad,1/15/2016 5:36,65031,4,Haryana,1/17/2016 5:36,First Class,363,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Home Office,18.24754334,-66.0253067,Delhi,2/14/2016 20:16,70237,1,Delhi,2/16/2016 20:16,First Class,376,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
