Days for shipping (real),Days for shipment (scheduled),Delivery Status,Customer Segment,Latitude,Longitude,Order City,order date (DateOrders),Order Item Id,Order Item Quantity,Order State,Order Status,shipping date (DateOrders),Shipping Mode,User ID,Admin Recomended Slots/Previous Optimized Delivered Slots,Parcel Delivered in This Slot,Machine Prediction
3.0,2.0,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,03-04-2016 19:43,73502.0,3.0,Chhattisgarh,PENDING_PAYMENT,03-07-2016 19:43,Second Class,44.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3.0,2.0,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,03-04-2016 19:43,73501.0,2.0,Chhattisgarh,PENDING_PAYMENT,03-07-2016 19:43,Second Class,44.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
3.0,4.0,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61206.0,1.0,Delhi,ON_HOLD,12/27/2015 0:01,Standard Class,70.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
3.0,4.0,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61205.0,5.0,Delhi,ON_HOLD,12/27/2015 0:01,Standard Class,70.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61202.0,1.0,Delhi,ON_HOLD,12/27/2015 0:01,Standard Class,70.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61204.0,3.0,Delhi,ON_HOLD,12/27/2015 0:01,Standard Class,70.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Corporate,33.73583221,-118.2922211,Delhi,12/24/2015 0:01,61203.0,2.0,Delhi,ON_HOLD,12/27/2015 0:01,Standard Class,70.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3.0,4.0,Advance shipping,Corporate,18.22769547,-66.04356384,Bhiwandi,2/26/2016 5:32,72209.0,4.0,Maharashtra,PENDING,2/29/2016 5:32,Standard Class,77.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Corporate,18.22769547,-66.04356384,Bhiwandi,2/26/2016 5:32,72208.0,1.0,Maharashtra,PENDING,2/29/2016 5:32,Standard Class,77.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
5.0,2.0,Late delivery,Consumer,18.2276001,-66.0435791,Mumbai,03-09-2016 23:02,74376.0,4.0,Maharashtra,CLOSED,3/14/2016 23:02,Second Class,85.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5.0,2.0,Late delivery,Consumer,18.2276001,-66.0435791,Mumbai,03-09-2016 23:02,74375.0,1.0,Maharashtra,CLOSED,3/14/2016 23:02,Second Class,85.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Corporate,37.6722908,-121.0311356,Nasik,03-06-2016 05:21,73741.0,1.0,Maharashtra,PENDING_PAYMENT,03-08-2016 05:21,First Class,103.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,37.6722908,-121.0311356,Nasik,03-06-2016 05:21,73740.0,1.0,Maharashtra,PENDING_PAYMENT,03-08-2016 05:21,First Class,103.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Consumer,32.71671677,-116.997261,Mangalore,02-10-2016 14:40,69556.0,1.0,Karnataka,COMPLETE,2/13/2016 14:40,Standard Class,141.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Consumer,32.71671677,-116.997261,Mangalore,02-10-2016 14:40,69557.0,1.0,Karnataka,COMPLETE,2/13/2016 14:40,Standard Class,141.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
4.0,4.0,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,02-11-2016 15:32,69738.0,5.0,Maharashtra,PENDING,2/15/2016 15:32,Standard Class,142.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,02-11-2016 15:32,69736.0,1.0,Maharashtra,PENDING,2/15/2016 15:32,Standard Class,142.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,02-11-2016 15:32,69737.0,2.0,Maharashtra,PENDING,2/15/2016 15:32,Standard Class,142.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,02-11-2016 15:32,69740.0,3.0,Maharashtra,PENDING,2/15/2016 15:32,Standard Class,142.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,25.89972687,-80.25153351,Mumbai,02-11-2016 15:32,69739.0,3.0,Maharashtra,PENDING,2/15/2016 15:32,Standard Class,142.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,2.0,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72192.0,3.0,Maharashtra,CLOSED,2/28/2016 3:26,Second Class,149.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,2.0,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72191.0,4.0,Maharashtra,CLOSED,2/28/2016 3:26,Second Class,149.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,2.0,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72189.0,5.0,Maharashtra,CLOSED,2/28/2016 3:26,Second Class,149.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,2.0,Shipping on time,Home Office,32.79872894,-116.9538727,Malegaon,2/26/2016 3:26,72190.0,1.0,Maharashtra,CLOSED,2/28/2016 3:26,Second Class,149.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6.0,4.0,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,12-07-2015 02:40,58339.0,1.0,Haryana,PENDING_PAYMENT,12/13/2015 2:40,Standard Class,161.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6.0,4.0,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,12-07-2015 02:40,58337.0,2.0,Haryana,PENDING_PAYMENT,12/13/2015 2:40,Standard Class,161.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,12-07-2015 02:40,58335.0,3.0,Haryana,PENDING_PAYMENT,12/13/2015 2:40,Standard Class,161.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,12-07-2015 02:40,58338.0,4.0,Haryana,PENDING_PAYMENT,12/13/2015 2:40,Standard Class,161.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Corporate,25.81123352,-80.26307678,Hisar,12-07-2015 02:40,58336.0,2.0,Haryana,PENDING_PAYMENT,12/13/2015 2:40,Standard Class,161.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Home Office,18.1464901,-66.54896545,Surat,1/23/2016 15:02,66487.0,1.0,Guyarat,PENDING_PAYMENT,1/29/2016 15:02,Standard Class,174.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6.0,4.0,Late delivery,Home Office,18.1464901,-66.54896545,Surat,1/23/2016 15:02,66486.0,1.0,Guyarat,PENDING_PAYMENT,1/29/2016 15:02,Standard Class,174.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Home Office,18.1464901,-66.54896545,Surat,1/23/2016 15:02,66488.0,5.0,Guyarat,PENDING_PAYMENT,1/29/2016 15:02,Standard Class,174.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Corporate,18.24755859,-66.02539063,Bangalore,1/30/2016 7:51,67667.0,1.0,Karnataka,PENDING_PAYMENT,02-04-2016 07:51,Standard Class,217.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5.0,4.0,Late delivery,Corporate,18.24755859,-66.02539063,Bangalore,1/30/2016 7:51,67666.0,5.0,Karnataka,PENDING_PAYMENT,02-04-2016 07:51,Standard Class,217.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,18.24755478,-66.02524567,Bokaro,03-02-2016 14:49,73101.0,3.0,Jharkhand,CLOSED,03-04-2016 14:49,Standard Class,225.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Corporate,18.24755478,-66.02524567,Bokaro,03-02-2016 14:49,73102.0,3.0,Jharkhand,CLOSED,03-04-2016 14:49,Standard Class,225.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,18.24755478,-66.02524567,Bokaro,03-02-2016 14:49,73100.0,1.0,Jharkhand,CLOSED,03-04-2016 14:49,Standard Class,225.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6.0,2.0,Late delivery,Home Office,33.42093277,-111.897377,Belgaum,01-06-2016 20:09,63638.0,1.0,Karnataka,COMPLETE,01-12-2016 20:09,Second Class,227.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6.0,2.0,Late delivery,Home Office,33.42093277,-111.897377,Belgaum,01-06-2016 20:09,63637.0,1.0,Karnataka,COMPLETE,01-12-2016 20:09,Second Class,227.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,2.0,Late delivery,Home Office,33.42093277,-111.897377,Belgaum,01-06-2016 20:09,63639.0,5.0,Karnataka,COMPLETE,01-12-2016 20:09,Second Class,227.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,41.71432495,-87.79169464,Pune,11-09-2015 13:13,53546.0,1.0,Maharashtra,COMPLETE,11-11-2015 13:13,First Class,246.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Consumer,41.71432495,-87.79169464,Pune,11-09-2015 13:13,53544.0,1.0,Maharashtra,COMPLETE,11-11-2015 13:13,First Class,246.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,41.71432495,-87.79169464,Pune,11-09-2015 13:13,53543.0,1.0,Maharashtra,COMPLETE,11-11-2015 13:13,First Class,246.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,41.71432495,-87.79169464,Pune,11-09-2015 13:13,53547.0,2.0,Maharashtra,COMPLETE,11-11-2015 13:13,First Class,246.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Consumer,41.71432495,-87.79169464,Pune,11-09-2015 13:13,53545.0,2.0,Maharashtra,COMPLETE,11-11-2015 13:13,First Class,246.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60446.0,1.0,Uttar Pradesh,COMPLETE,12/21/2015 18:04,Standard Class,247.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60445.0,1.0,Uttar Pradesh,COMPLETE,12/21/2015 18:04,Standard Class,247.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60448.0,3.0,Uttar Pradesh,COMPLETE,12/21/2015 18:04,Standard Class,247.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,18.35901833,-66.078125,Aligarh,12/19/2015 18:04,60447.0,2.0,Uttar Pradesh,COMPLETE,12/21/2015 18:04,Standard Class,247.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71698.0,5.0,Tamil Nadu,PROCESSING,2/28/2016 2:55,Standard Class,254.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71694.0,1.0,Tamil Nadu,PROCESSING,2/28/2016 2:55,Standard Class,254.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71697.0,1.0,Tamil Nadu,PROCESSING,2/28/2016 2:55,Standard Class,254.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,31.09787178,-99.80877686,Tiruchchirappalli,2/23/2016 2:55,71696.0,1.0,Tamil Nadu,PROCESSING,2/28/2016 2:55,Standard Class,254.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70782.0,1.0,Guyarat,COMPLETE,2/23/2016 0:17,Standard Class,255.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70780.0,4.0,Guyarat,COMPLETE,2/23/2016 0:17,Standard Class,255.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70779.0,5.0,Guyarat,COMPLETE,2/23/2016 0:17,Standard Class,255.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Corporate,18.22089768,-66.00357819,Rajkot,2/18/2016 0:17,70781.0,5.0,Guyarat,COMPLETE,2/23/2016 0:17,Standard Class,255.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,41.83272171,-87.98048401,Aligarh,12/16/2015 21:45,60006.0,5.0,Uttar Pradesh,PENDING,12/18/2015 21:45,Standard Class,256.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Consumer,41.83272171,-87.98048401,Aligarh,12/16/2015 21:45,60008.0,1.0,Uttar Pradesh,PENDING,12/18/2015 21:45,Standard Class,256.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,41.83272171,-87.98048401,Aligarh,12/16/2015 21:45,60007.0,1.0,Uttar Pradesh,PENDING,12/18/2015 21:45,Standard Class,256.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72195.0,5.0,Maharashtra,PENDING_PAYMENT,2/28/2016 3:47,First Class,261.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72194.0,5.0,Maharashtra,PENDING_PAYMENT,2/28/2016 3:47,First Class,261.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72196.0,1.0,Maharashtra,PENDING_PAYMENT,2/28/2016 3:47,First Class,261.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,33.86559296,-118.0953369,Malegaon,2/26/2016 3:47,72193.0,1.0,Maharashtra,PENDING_PAYMENT,2/28/2016 3:47,First Class,261.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,18.35920334,-66.07658386,Meerut,1/14/2016 7:52,64880.0,1.0,Uttar Pradesh,COMPLETE,1/18/2016 7:52,Standard Class,279.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,18.35920334,-66.07658386,Meerut,1/14/2016 7:52,64879.0,3.0,Uttar Pradesh,COMPLETE,1/18/2016 7:52,Standard Class,279.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
3.0,2.0,Late delivery,Consumer,18.3590107,-66.07815552,Thane,2/25/2016 5:01,72043.0,1.0,Maharashtra,COMPLETE,2/28/2016 5:01,Second Class,287.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3.0,2.0,Late delivery,Consumer,18.3590107,-66.07815552,Thane,2/25/2016 5:01,72045.0,1.0,Maharashtra,COMPLETE,2/28/2016 5:01,Second Class,287.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
3.0,2.0,Late delivery,Consumer,18.3590107,-66.07815552,Thane,2/25/2016 5:01,72044.0,1.0,Maharashtra,COMPLETE,2/28/2016 5:01,Second Class,287.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,12-11-2015 03:22,58980.0,1.0,Maharashtra,COMPLETE,12/13/2015 3:22,Standard Class,317.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,12-11-2015 03:22,58979.0,1.0,Maharashtra,COMPLETE,12/13/2015 3:22,Standard Class,317.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,12-11-2015 03:22,58982.0,1.0,Maharashtra,COMPLETE,12/13/2015 3:22,Standard Class,317.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,29.55552483,-95.71289825,Ichalkaranji,12-11-2015 03:22,58981.0,2.0,Maharashtra,COMPLETE,12/13/2015 3:22,Standard Class,317.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
3.0,2.0,Late delivery,Corporate,41.89497757,-87.77729034,Visakhapatnam,3/14/2016 3:56,75052.0,4.0,Andhra Pradesh,COMPLETE,3/17/2016 3:56,Second Class,319.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3.0,2.0,Late delivery,Corporate,41.89497757,-87.77729034,Visakhapatnam,3/14/2016 3:56,75051.0,1.0,Andhra Pradesh,COMPLETE,3/17/2016 3:56,Second Class,319.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
